model,window_id,case_id,difficulty,letter,predicted_action,correct,error,repeats,letters,consistency,responses,result_1_action,result_1_ratio,result_aux_action,result_aux_ratio,result_real
claude-haiku-4-5-20251001,case1024_w14274,1024,hard,e,no_action,1,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",no_action,0.3011,reduce_opioid,0.2465,no_action
claude-haiku-4-5-20251001,case1247_w17441,1247,easy,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",reduce_opioid,0.5708,increase_opioid,0.2173,increase_hypnotic
claude-haiku-4-5-20251001,case1258_w17563,1258,medium,d,reduce_opioid,1,False,3,"[""d"", ""d"", ""d""]",1.0,"[{""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}, {""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}, {""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}]",reduce_hypnotic,0.3515,increase_opioid,0.3151,reduce_opioid
claude-haiku-4-5-20251001,case1258_w17571,1258,medium,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",increase_hypnotic,0.7117,increase_opioid,0.2564,increase_hypnotic
claude-haiku-4-5-20251001,case1348_w18846,1348,hard,e,no_action,0,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",increase_hypnotic,0.4129,increase_opioid,0.2811,increase_opioid
claude-haiku-4-5-20251001,case1348_w18856,1348,hard,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",reduce_opioid,0.5033,increase_opioid,0.4084,reduce_opioid
claude-haiku-4-5-20251001,case1497_w20588,1497,medium,e,no_action,1,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",no_action,0.7382,increase_opioid,0.0791,no_action
claude-haiku-4-5-20251001,case1497_w20596,1497,medium,e,no_action,1,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",no_action,0.6318,reduce_opioid,0.134,no_action
claude-haiku-4-5-20251001,case1566_w21557,1566,medium,e,no_action,1,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",no_action,0.8612,increase_opioid,0.0635,no_action
claude-haiku-4-5-20251001,case1621_w22201,1621,medium,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",no_action,0.4444,reduce_opioid,0.2209,no_action
claude-haiku-4-5-20251001,case1715_w23532,1715,easy,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",increase_opioid,0.7298,reduce_opioid,0.2386,increase_opioid
claude-haiku-4-5-20251001,case1749_w23966,1749,easy,e,no_action,0,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",reduce_hypnotic,0.6322,reduce_opioid,0.2881,increase_hypnotic
claude-haiku-4-5-20251001,case1749_w23970,1749,easy,e,no_action,0,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",no_action,0.2739,reduce_opioid,0.2325,reduce_opioid
claude-haiku-4-5-20251001,case1749_w23984,1749,easy,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",increase_opioid,0.6929,reduce_opioid,0.2445,increase_opioid
claude-haiku-4-5-20251001,case1771_w24290,1771,easy,d,reduce_opioid,0,False,3,"[""d"", ""d"", ""d""]",1.0,"[{""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}, {""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}, {""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}]",no_action,0.947,reduce_opioid,0.0176,no_action
claude-haiku-4-5-20251001,case1809_w24652,1809,hard,a,increase_hypnotic,0,False,3,"[""a"", ""a"", ""a""]",1.0,"[{""letter"": ""a"", ""raw"": ""a"", ""explanation"": """", ""error"": false}, {""letter"": ""a"", ""raw"": ""a"", ""explanation"": """", ""error"": false}, {""letter"": ""a"", ""raw"": ""a"", ""explanation"": """", ""error"": false}]",no_action,0.5296,increase_opioid,0.4314,no_action
claude-haiku-4-5-20251001,case1809_w24689,1809,hard,d,reduce_opioid,0,False,3,"[""d"", ""d"", ""d""]",1.0,"[{""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}, {""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}, {""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}]",no_action,0.4086,reduce_opioid,0.2673,reduce_hypnotic
claude-haiku-4-5-20251001,case1942_w26502,1942,medium,c,increase_opioid,1,False,3,"[""c"", ""c"", ""c""]",1.0,"[{""letter"": ""c"", ""raw"": ""c"", ""explanation"": """", ""error"": false}, {""letter"": ""c"", ""raw"": ""c"", ""explanation"": """", ""error"": false}, {""letter"": ""c"", ""raw"": ""c"", ""explanation"": """", ""error"": false}]",reduce_opioid,0.5012,increase_opioid,0.4766,increase_opioid
claude-haiku-4-5-20251001,case2063_w28111,2063,medium,d,reduce_opioid,1,False,3,"[""d"", ""d"", ""d""]",1.0,"[{""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}, {""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}, {""letter"": ""d"", ""raw"": ""d"", ""explanation"": """", ""error"": false}]",reduce_opioid,0.5131,increase_opioid,0.2989,reduce_opioid
claude-haiku-4-5-20251001,case2160_w29246,2160,medium,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",reduce_opioid,0.7805,increase_opioid,0.1678,increase_opioid
claude-haiku-4-5-20251001,case1771_w24285,1771,easy,c,increase_opioid,0,False,3,"[""e"", ""c"", ""c""]",0.6667,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""c"", ""raw"": ""c"", ""explanation"": """", ""error"": false}, {""letter"": ""c"", ""raw"": ""c"", ""explanation"": """", ""error"": false}]",no_action,0.6305,reduce_hypnotic,0.1956,no_action
claude-haiku-4-5-20251001,case2160_w29263,2160,medium,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",no_action,0.6277,reduce_opioid,0.2437,no_action
claude-haiku-4-5-20251001,case2160_w29276,2160,medium,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",reduce_opioid,0.6824,increase_opioid,0.174,reduce_opioid
claude-haiku-4-5-20251001,case2160_w29310,2160,medium,e,no_action,1,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",no_action,0.8445,reduce_opioid,0.0923,no_action
claude-haiku-4-5-20251001,case2252_w30473,2252,hard,e,no_action,1,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",no_action,0.7252,reduce_hypnotic,0.1378,no_action
claude-haiku-4-5-20251001,case2358_w31893,2358,hard,e,no_action,1,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",no_action,0.5075,reduce_opioid,0.1836,no_action
claude-haiku-4-5-20251001,case2617_w35478,2617,medium,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",reduce_opioid,0.8553,increase_opioid,0.1181,reduce_opioid
claude-haiku-4-5-20251001,case2243_w30289,2243,medium,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",no_action,0.5367,increase_opioid,0.2137,no_action
claude-haiku-4-5-20251001,case2617_w35485,2617,medium,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",no_action,0.4324,reduce_hypnotic,0.3782,no_action
claude-haiku-4-5-20251001,case2617_w35497,2617,medium,b,reduce_hypnotic,0,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",increase_hypnotic,0.4491,no_action,0.3512,increase_hypnotic
claude-haiku-4-5-20251001,case2633_w35654,2633,easy,b,reduce_hypnotic,1,False,3,"[""b"", ""b"", ""b""]",1.0,"[{""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}, {""letter"": ""b"", ""raw"": ""b"", ""explanation"": """", ""error"": false}]",no_action,0.4142,reduce_hypnotic,0.2809,reduce_hypnotic
claude-haiku-4-5-20251001,case2633_w35676,2633,easy,e,no_action,1,False,3,"[""e"", ""e"", ""e""]",1.0,"[{""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}, {""letter"": ""e"", ""raw"": ""e"", ""explanation"": """", ""error"": false}]",no_action,0.7278,reduce_hypnotic,0.1235,no_action
